skills;skills_ai_det;skills_hasai_det;desc_tier_llm;desc_conf_llm;ai_confidence;desc_ai_llm;is_real_ai;hardskills;softskills;edu_level_det;edulevel_llm;experience_min_llm;ai_det_llm_match;desc_hard_det;desc_soft_det;desc_hard_llm;desc_soft_llm;id;job_title;location;company_id;company;age_in_days;pay_currency;pay_period;salary_min;salary_mid;salary_max;rating;discover_date;job_types;remote_work_types;city;state;country;latitude;longitude;ceo;headquarters;industry;sector;revenue;size;type;year_founded;region;job_family;sector_nace;cluster_architecture__methods;cluster_bi__analytics;cluster_backend_development;cluster_certifications;cluster_cloud_computing;cluster_data_analysis__stats;cluster_data_engineering;cluster_data_science__ml;cluster_databases__storage;cluster_devops__containers;cluster_dynamic__web;cluster_enterprise__managed;cluster_enterprise_platforms;cluster_frontend_development;cluster_generative_ai;cluster_legacy__mainframe;cluster_mobile__desktop;cluster_networking;cluster_os__embedded;cluster_scripting__shell;cluster_security__identity;cluster_systems_programming;cluster_testing_qa__debugging;cluster_tools__editors;skill_cluster;website
Azure, Kubernetes, DevOps, Google Cloud Platform, AWS, Docker, Linux, Python;;0;none;0.92;0.92;;0;aws, azure, devops, docker, gcp, kubernetes, linux, orchestration, python, safe;creativity, flexibility, innovation, time management;;-;5;1;aws, azure, devops, docker, gcp, kubernetes, linux, orchestration, python, safe;creativity, flexibility, innovation, time management;;;5637;Senior DevOps Engineer - Edge Data Platform (all genders);Regensburg;3211410.0;Syskron GmbH;11;EUR;;;;;3.0;2025-10-14T00:00:00;;;Regensburg;Bayern;Germany;49.017445;12.097166;;Wackersdorf, Deutschland;;;Unbekannt/Nicht zutreffend;201 bis 500 Mitarbeiter;Aktiengesellschaft;;Unknown;DevOps & Cloud;Unknown;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;
CI/CD, Kubernetes, IT, Linux;;0;none;0.92;0.92;;0;ci/cd, devops, kubernetes, linux, openshift, redhat;;;-;-;1;ci/cd, devops, kubernetes, linux, openshift, redhat;;;;5638;(Senior) DevOps-Engineer (m/w/d);Leipzig;934893.0;Maurer Electronics GmbH;11;EUR;;;;;3.6;2025-10-14T00:00:00;;;Leipzig;Sachsen;Germany;51.338287;12.377931;Stefan Hofschen;Berlin, Deutschland;IT-Kundenbetreuung;Informationstechnologie;100 bis 500 Millionen $ (USD);1.001 bis 5.000 Mitarbeiter;Privatunternehmen;1851.0;Unknown;DevOps & Cloud;J;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
CI/CD, Azure, Kubernetes, Ansible, DevOps, Git, Google Cloud Platform, AWS, Docker, Terraform, IPsec, Jenkins, GitLab, Python, VPN;;0;none;0.92;0.92;;0;ansible, aws, azure, bash, ci/cd, devops, docker, elk stack, gcp, git, gitlab, gitlab ci, grafana, infrastructure as code, jenkins, kubernetes, linux, prometheus, python, terraform, vpn;innovation;;-;-;1;ansible, aws, azure, bash, ci/cd, devops, docker, elk stack, gcp, git, gitlab, gitlab ci, grafana, infrastructure as code, jenkins, kubernetes, linux, prometheus, python, terraform, vpn;innovation;;;5639;DevOps Engineer (m/w/x);Hagen;2982233.0;POTTHOFF + PARTNER GmbH;46;EUR;;;;;-0.100000001;2025-10-09T00:00:00;Full-time;;Hagen;Nordrhein-Westfalen;Germany;51.360172;7.467406;;Hagen, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;DevOps & Cloud;Unknown;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;;
Jira, CI/CD, Kubernetes, Git, English, Google Cloud Platform, Java, AWS, Docker, Confluence, Terraform, Linux, Groovy, Jenkins, Python, German;;0;none;0.92;0.92;;0;aws, bitbucket, ci/cd, confluence, devops, docker, gcp, git, groovy, java, jenkins, jira, kubernetes, linux, python, shell, terraform;innovation;;-;-;1;aws, bitbucket, ci/cd, confluence, devops, docker, gcp, git, groovy, java, jenkins, jira, kubernetes, linux, python, shell, terraform;innovation;;;5640;DevOps Engineer m/w/d;Karlsruhe;3202951.0;Rommelag Kunststoff-Maschinen Vertriebsgesellschaft mbH;17;EUR;;;;;3.2;2025-10-08T00:00:00;;;Karlsruhe;Baden-Württemberg;Germany;49.009644;8.404903;Peter Rittner, Ralf Bouffleur, Gert Hansen;Sulzbach-Laufen, Deutschland;;;Unbekannt/Nicht zutreffend;1.001 bis 5.000 Mitarbeiter;Privatunternehmen;1952.0;Unknown;DevOps & Cloud;Unknown;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;;
Go, Kubernetes, C#, Java, Agile, IT, SaaS, Python, Shell Scripting, German;;0;none;0.92;0.92;;0;agile, c#, devops, java, javascript, kubernetes, microservices, python, shell, shell scripting;coaching, innovation, mentoring;;Associate;0;1;agile, c#, devops, java, javascript, kubernetes, microservices, python, shell, shell scripting;coaching, innovation, mentoring;;;5641;Junior DevOps Engineer - Smart City Open Source;Home office;947678.0;Unity AG;8;EUR;;;;;4.3;2025-10-17T00:00:00;Full-time, Part-time;WORK_FROM_HOME;;;Portugal;39.5;-8.0;Christoph Plass;Büren, Deutschland;Unternehmensberatung;Management & Beratung;25 bis 100 Millionen $ (USD);201 bis 500 Mitarbeiter;Aktiengesellschaft;1995.0;Unknown;DevOps & Cloud;M;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;;
CI/CD, TCP, React, Kubernetes, Ansible, .NET Core, Configuration management, Git, .NET, Java, Distributed systems, TCP/IP, Python;;0;none;0.92;0.92;;0;ansible, bash, ci/cd, dotnet, git, gitflow, github, java, kubernetes, orchestration, python, react, solid, tcp/ip;collaboration, innovation, troubleshooting;;Bachelor's;3;1;ansible, bash, ci/cd, dotnet, git, gitflow, github, java, kubernetes, orchestration, python, react, solid, tcp/ip;collaboration, innovation, troubleshooting;;;5642;DevOps Engineer;Home office;3379266.0;MY.GAMES;12;EUR;;;;;4.0;2025-10-13T00:00:00;;WORK_FROM_HOME;;;Portugal;39.5;-8.0;;Amsterdam, Niederlande;Digitale Spiele;Medien & Kommunikation;Unbekannt/Nicht zutreffend;1.001 bis 5.000 Mitarbeiter;Aktiengesellschaft;;Unknown;DevOps & Cloud;J;1;0;1;0;0;0;1;0;0;1;1;1;0;1;0;0;0;1;0;1;0;0;0;0;;
CI/CD, Unreal Engine, DevOps, C#, Test automation, Git, Windows, Docker, Perforce, Terraform, Linux, Jenkins, Python, PowerShell;;0;none;0.9;0.9;;0;c#, ci/cd, devops, devsecops, docker, git, infrastructure as code, jenkins, linux, powershell, python, teamcity, terraform, test automation, version control, windows;communication, creativity, flexibility, initiative, interpersonal skills, mentoring, teamwork;;Master's;5;1;c#, ci/cd, devops, devsecops, docker, git, infrastructure as code, jenkins, linux, powershell, python, teamcity, terraform, test automation, version control, windows;communication, creativity, flexibility, initiative, interpersonal skills, mentoring, teamwork;;;5643;Senior DevOps Engineer (f/d/m);München;2067559.0;HOLOGATE GmbH;9;EUR;;;;;3.2;2025-10-16T00:00:00;Full-time, Part-time;;München;Bayern;Germany;48.13704;11.575529;;München, Deutschland;;;Unbekannt/Nicht zutreffend;1 bis 50 Mitarbeiter;Privatunternehmen;;Unknown;DevOps & Cloud;Unknown;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;1;0;0;1;0;;
Kubernetes, English, AI, Python, German;ai;1;applied_ai;0.78;0.78;Künstliche Intelligenz (KI), LLMs, RAG-LLMs, Data Pipelines, Dagster;1;cdn, cybersecurity, dagster, data pipelines, devops, grafana, html, https, kubernetes, llm, prometheus, python, rag, svg;flexibility, organization;master;Master's;-;1;cdn, cybersecurity, dagster, data pipelines, devops, grafana, html, https, kubernetes, llm, prometheus, python, rag, svg;flexibility, organization;;;5644;DevOps Engineer (m/w/d) für den Bereich Künstliche Intelligenz (Artificial Intelligence);Teisnach;12926.0;ROHDE & SCHWARZ GmbH & Co. KG;25;EUR;;;;;4.1;2025-09-30T00:00:00;Full-time;;Teisnach;Bayern;Germany;49.040245;12.991572;Christian Leicher;München, Deutschland;Unternehmenssoftware & Netzwerklösungen;Informationstechnologie;1 bis 5 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Privatunternehmen;1933.0;Unknown;DevOps & Cloud;J;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;;
CI/CD, Azure, Kubernetes, Ansible, DevOps, Google Cloud Platform, Microservices, AWS, Docker, Distributed systems, Terraform, Scripting, GitHub, Jenkins, GitLab, Python, PowerShell;;0;none;0.92;0.92;;0;ansible, aws, azure, bash, ci/cd, cloud infrastructure, cloudformation, devops, docker, elk stack, gcp, github, github actions, gitlab, gitlab ci, grafana, infrastructure as code, jenkins, kubernetes, microservices, optimization, powershell, prometheus, python, solid, terraform, vulnerability scanning;collaboration, communication, innovation, proactive, problem solving, reliability, troubleshooting;bachelor;Bachelor's;3;1;ansible, aws, azure, bash, ci/cd, cloud infrastructure, cloudformation, devops, docker, elk stack, gcp, github, github actions, gitlab, gitlab ci, grafana, infrastructure as code, jenkins, kubernetes, microservices, optimization, powershell, prometheus, python, solid, terraform, vulnerability scanning;collaboration, communication, innovation, proactive, problem solving, reliability, troubleshooting;;;5645;DevOps Engineer;Berlin;6838738.0;TechBiz Global GmbH;18;EUR;;;;;4.5;2025-10-06T00:00:00;Full-time;WORK_FROM_HOME;Berlin;Berlin;Germany;52.51767;13.405538;;Berlin, Deutschland;Softwareentwicklung;Informationstechnologie;Unbekannt/Nicht zutreffend;51 bis 200 Mitarbeiter;Privatunternehmen;2021.0;Unknown;DevOps & Cloud;J;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;;
CI/CD, Kubernetes, DevOps, Analysis skills, Docker, Virtualization, Scripting, VMWare, Linux, GitLab, Python;;0;none;0.92;0.92;;0;bash, ci/cd, devops, docker, gitlab, gitlab ci, kubernetes, linux, python, virtualization, vmware;flexibility;;-;-;1;bash, ci/cd, devops, docker, gitlab, gitlab ci, kubernetes, linux, python, virtualization, vmware;flexibility;;;5646;DevOps Engineer (m/w/d);Bremen;;TKMS ATLAS ELEKTRONIK GmbH;24;EUR;;;;;;2025-09-30T00:00:00;Full-time;;Bremen;Bremen;Germany;53.075607;8.809338;;;;;;;;;Unknown;DevOps & Cloud;Unknown;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;;
CI/CD, Kubernetes, DevOps, English, Kafka, Jenkins, GitLab, Communication skills, German;;0;none;0.92;0.92;;0;ci/cd, circleci, devops, gitlab, gitlab ci, jenkins, kafka, kanban, kubernetes, scrum;communication, flexibility, organization;;-;1;1;ci/cd, circleci, devops, gitlab, gitlab ci, jenkins, kafka, kanban, kubernetes, scrum;communication, flexibility, organization;;;5647;DevOps Engineer (m/w/d);Dortmund;934995.0;PSI Software SE;86;EUR;;;;;3.4;2025-09-30T00:00:00;Full-time;;Dortmund;Nordrhein-Westfalen;Germany;51.51417;7.464165;Dr. Harald Schrimpf;Berlin, Deutschland;Konsumgüterproduktion;Produktion;100 bis 500 Millionen $ (USD);1.001 bis 5.000 Mitarbeiter;Unbekannt;1969.0;Unknown;DevOps & Cloud;C;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
CI/CD, System administration, Operating systems, Oracle, Kubernetes, DevOps, English, Windows, Terraform, Linux, GitLab, German;;0;none;0.92;0.92;;0;ci/cd, devops, gitlab, gitlab ci, kubernetes, linux, puppet, terraform, windows;innovation, reliability;;-;-;1;ci/cd, devops, gitlab, gitlab ci, kubernetes, linux, puppet, terraform, windows;innovation, reliability;;;5648;DevOps Engineer (m/w/d);Stuttgart;282141.0;Brunel;22;EUR;;;;;4.3;2025-10-03T00:00:00;Full-time;;Stuttgart;Baden-Württemberg;Germany;48.775818;9.177734;Peter de Laat;Amsterdam, Niederlande;Personalwesen & Personalvermittlungen;Personalwesen;1 bis 5 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1975.0;Unknown;DevOps & Cloud;N;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;;
Kubernetes, Ansible, Git, IT;;0;none;0.92;0.92;;0;ansible, devops, git, kubernetes, networking, storage;;;Associate;-;1;ansible, devops, git, kubernetes, networking, storage;;;;5649;Cloud Engineer - Edge Cloud Kubernetes Plattform (m/w/d);Weinsberg;10042042.0;Schwarz IT;219;EUR;;;;;4.0;2025-10-19T00:00:00;Full-time;;Weinsberg;Baden-Württemberg;Germany;49.150257;9.285758;;Neckarsulm, Deutschland;;;Unbekannt/Nicht zutreffend;1.001 bis 5.000 Mitarbeiter;Privatunternehmen;;Unknown;DevOps & Cloud;Unknown;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
CI/CD, Kubernetes, DevOps, Git, English, Terraform, Splunk, GitLab, German;;0;none;0.92;0.92;;0;argo, ci/cd, devops, devsecops, elk stack, frontend development, git, gitlab, helm, infrastructure as code, istio, kafka, kubernetes, prometheus, rabbitmq, splunk, terraform;;;-;-;1;argo, ci/cd, devops, devsecops, elk stack, frontend development, git, gitlab, helm, infrastructure as code, istio, kafka, kubernetes, prometheus, rabbitmq, splunk, terraform;;;;5650;Platform Engineer (m/w/d) DevSecOps;Berlin;679437.0;univativ GmbH;23;EUR;ANNUAL;60000.0;64000.0;68000.0;3.7;2025-10-02T00:00:00;Full-time;;Berlin;Berlin;Germany;52.51767;13.405538;Eric Schönfeld;Darmstadt, Deutschland;Personalberatung;Personalwesen;Unbekannt/Nicht zutreffend;1.001 bis 5.000 Mitarbeiter;Privatunternehmen;1998.0;Unknown;DevOps & Cloud;N;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;;
English, Java, German;;0;none;0.85;0.85;;0;devops, java;mentoring;highschool;High School;-;1;devops, java;mentoring;;;5651;Ausbildung zum Fachinformatiker – Fachrichtung Systemintegration mit dem Schwerpunkt DevOps (m/w/d);Lünen;28466.0;REMONDIS business IT solutions GmbH;79;EUR;;;;;3.3;2025-10-06T00:00:00;Full-time, Apprentice/Trainee;;Lünen;Nordrhein-Westfalen;Germany;51.614326;7.523533;Ludger Rethmann;Lünen, Deutschland;Energie- & Versorgungswirtschaft;Energie, Bergbau, Versorgungswirtschaft;5 bis 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Privatunternehmen;1934.0;Unknown;DevOps & Cloud;D;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;
CI/CD, Kubernetes, DevOps, Git, Docker, Jenkins, GitLab;;0;none;0.85;0.85;;0;ci/cd, continuous delivery, continuous integration, devops, docker, git, gitlab, gitlab ci, jenkins, kubernetes, multi-cloud;troubleshooting;;Bachelor's;5;1;ci/cd, continuous delivery, continuous integration, devops, docker, git, gitlab, gitlab ci, jenkins, kubernetes, multi-cloud;troubleshooting;;;5652;DevOps Engineer (w/m/d);Bisingen;37895.0;KubeOps GmbH;116;EUR;;;;;3.2;2025-10-01T00:00:00;;;Bisingen;Baden-Württemberg;Germany;48.310154;8.917087;Dr. Thomas Olemotz;Neckarsulm, Deutschland;IT-Kundenbetreuung;Informationstechnologie;5 bis 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1983.0;Unknown;DevOps & Cloud;J;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
CI/CD, Azure, Kubernetes, DevOps, AWS, Terraform, GitHub;;0;none;0.85;0.85;;0;aws, azure, ci/cd, devops, github, github actions, infrastructure as code, kubernetes, terraform;;;-;0;1;aws, azure, ci/cd, devops, github, github actions, infrastructure as code, kubernetes, terraform;;;;5653;(Junior ) DevOps- / CloudOps Engineer (m/w/d);Hamburg;3164922.0;Hamburger Pensionsverwaltung eG;33;EUR;;;;;4.7;2025-10-22T00:00:00;;;Hamburg;Hamburg;Germany;53.55068;9.99697;;Hamburg, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Aktiengesellschaft;;Unknown;DevOps & Cloud;Unknown;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Kubernetes, Ansible, Docker, Systems engineering, IT, GitLab;;0;none;0.85;0.85;;0;ansible, devops, docker, gitlab, kubernetes;flexibility;;Bachelor's;-;1;ansible, devops, docker, gitlab, kubernetes;flexibility;;;5654;DevOps Engineer;Oldenburg (Oldenburg);3065005.0;energy & meteo systems;336;EUR;;;;;4.6;2025-10-22T00:00:00;Full-time;;Oldenburg (Oldenburg);Niedersachsen;Germany;53.140026;8.212993;;Oldenburg (Oldenburg), Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;DevOps & Cloud;Unknown;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Azure, Go, Kubernetes, English, AWS, Docker, Linux, Python, German;;0;none;0.85;0.85;;0;aws, azure, devops, docker, gcp, kubernetes, linux, python;flexibility, innovation;;Bachelor's;5;1;aws, azure, devops, docker, gcp, kubernetes, linux, python;flexibility, innovation;;;5655;Senior DevOps Engineer - Edge Data Platform (all genders);Regensburg;3211410.0;Syskron GmbH;11;EUR;;;;;3.0;2025-10-14T00:00:00;Full-time;;Regensburg;Bayern;Germany;49.017445;12.097166;;Wackersdorf, Deutschland;;;Unbekannt/Nicht zutreffend;201 bis 500 Mitarbeiter;Aktiengesellschaft;;Unknown;DevOps & Cloud;Unknown;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;
CI/CD, Rust, Go, Kubernetes, DevOps, English, AWS, Terraform, REST, Software development, APIs, German;;0;none;0.85;0.85;;0;api, aws, ci/cd, clean architecture, clean code, cloud native, devops, identity management, infrastructure as code, kafka, kubernetes, microservices, openapi, rabbitmq, rest, rust, software engineering, sqs, terraform;flexibility, mentoring;;Bachelor's;5;1;api, aws, ci/cd, clean architecture, clean code, cloud native, devops, identity management, infrastructure as code, kafka, kubernetes, microservices, openapi, rabbitmq, rest, rust, software engineering, sqs, terraform;flexibility, mentoring;;;5656;Senior DevOps Engineer (w/d/m);Oldenburg (Oldenburg);42002.0;EWE NETZ GmbH;24;EUR;;;;;4.2;2025-10-01T00:00:00;Full-time;;Oldenburg (Oldenburg);Niedersachsen;Germany;53.140026;8.212993;Stefan Dohler;Oldenburg (Oldenburg), Deutschland;Energie- & Versorgungswirtschaft;Energie, Bergbau, Versorgungswirtschaft;5 bis 10 Milliarden $ (USD);5.001 bis 10.000 Mitarbeiter;Aktiengesellschaft;1929.0;Unknown;DevOps & Cloud;D;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;;
CI/CD, Salt, Ansible, Relational databases, DevOps, AWS, Terraform, Scripting, Software development, GitHub, Puppet, Leadership, Jenkins;;0;none;0.85;0.85;;0;agile, ansible, aws, bash, chef, ci/cd, cloudformation, computer vision, cross-platform, devops, github, github actions, jenkins, networking, performance tuning, puppet, software engineering, solid, teamcity, terraform;attention to detail, communication, decision making, innovation, leadership, organization, passion, problem solving, responsibility, self-motivated;;-;7;1;agile, ansible, aws, bash, chef, ci/cd, cloudformation, computer vision, cross-platform, devops, github, github actions, jenkins, networking, performance tuning, puppet, software engineering, solid, teamcity, terraform;attention to detail, communication, decision making, innovation, leadership, organization, passion, problem solving, responsibility, self-motivated;;;5657;Senior DevOps Engineer (m/f/x);Home office;4020639.0;Whitebox GmbH;326;EUR;;;;;3.4;2025-10-03T00:00:00;Full-time;WORK_FROM_HOME;;;Portugal;39.5;-8.0;;Freiburg, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;DevOps & Cloud;Unknown;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;;
CI/CD, Kubernetes, OpenStack, Python;;0;none;0.85;0.85;;0;bash, ci/cd, computer vision, devops, kubernetes, python;;;-;1;1;bash, ci/cd, computer vision, devops, kubernetes, python;;;;5658;DevOps Engineer OpenStack & Automatisierung (m/w/d) 100% remote ID10096;Home office;2794696.0;mund consulting AG;31;EUR;;;;;4.0;2025-10-24T00:00:00;;WORK_FROM_HOME;;;Portugal;39.5;-8.0;;;;;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;DevOps & Cloud;Unknown;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;;
CI/CD, Unreal Engine, DevOps, C#, Test automation, Git, Windows, Docker, Perforce, Terraform, Linux, Jenkins, Python, PowerShell;;0;none;0.85;0.85;;0;c#, ci/cd, devops, devsecops, docker, git, infrastructure as code, jenkins, linux, powershell, python, teamcity, terraform, test automation, version control, windows;communication, flexibility, innovation, interpersonal skills, mentoring;;-;5;1;c#, ci/cd, devops, devsecops, docker, git, infrastructure as code, jenkins, linux, powershell, python, teamcity, terraform, test automation, version control, windows;communication, flexibility, innovation, interpersonal skills, mentoring;;;5659;Senior DevOps Engineer (f/d/m);München;2067559.0;HOLOGATE GmbH;4;EUR;;;;;3.2;2025-10-21T00:00:00;Full-time, Part-time, Temporary;;München;Bayern;Germany;48.13704;11.575529;;München, Deutschland;;;Unbekannt/Nicht zutreffend;1 bis 50 Mitarbeiter;Privatunternehmen;;Unknown;DevOps & Cloud;Unknown;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;1;0;0;1;0;;
CI/CD, Azure, Go, Security analysis, Kubernetes, Ansible, DevOps, English, Docker, Terraform, Jenkins, GitLab, Python, German;;0;none;0.85;0.85;;0;ansible, azure, azure devops, bash, ci/cd, cloud native, devops, docker, gitlab, gitlab ci, helm, infrastructure as code, jenkins, kafka, kubernetes, networking, python, terraform, zustand;innovation, troubleshooting;;Bachelor's;4;1;ansible, azure, azure devops, bash, ci/cd, cloud native, devops, docker, gitlab, gitlab ci, helm, infrastructure as code, jenkins, kafka, kubernetes, networking, python, terraform, zustand;innovation, troubleshooting;;;5660;Edge Cloud DevOps Engineer (aGw*);Arnstorf;935313.0;Lindner Group;107;EUR;;;;;3.6;2025-10-09T00:00:00;;;Arnstorf;Bayern;Germany;48.561028;12.817306;Hans Lindner;Arnstorf, Deutschland;Gebäude- und Personaldienstleistungen;Management & Beratung;500 Millionen bis 1 Milliarde $ (USD);5.001 bis 10.000 Mitarbeiter;Unbekannt;2009.0;Unknown;DevOps & Cloud;M;1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;;
CI/CD, Kubernetes, DevOps, AWS, Docker, Terraform, Scripting, GitHub, Agile, S3, GitLab, Communication skills, Python, Identity & access management;;0;none;0.85;0.85;;0;agile, aws, bash, ci/cd, cloud infrastructure, cloudfront, cloudwatch, devops, docker, ec2, ecs, eks, event-driven, fargate, github, github actions, gitlab, gitlab ci, high availability, iam, infrastructure as code, kubernetes, lambda, networking, orchestration, python, rds, route53, s3, serverless, sns, solid, sqs, step functions, terraform, vpc;communication, cross-functional collaboration, flexibility, organization, troubleshooting;;Bachelor's;7;1;agile, aws, bash, ci/cd, cloud infrastructure, cloudfront, cloudwatch, devops, docker, ec2, ecs, eks, event-driven, fargate, github, github actions, gitlab, gitlab ci, high availability, iam, infrastructure as code, kubernetes, lambda, networking, orchestration, python, rds, route53, s3, serverless, sns, solid, sqs, step functions, terraform, vpc;communication, cross-functional collaboration, flexibility, organization, troubleshooting;;;5661;DevOps Engineer;Rostock;794566.0;CENTOGENE GmbH;24;EUR;;;;;2.9;2025-09-30T00:00:00;Full-time;;Rostock;Mecklenburg-Vorpommern;Germany;54.088547;12.135993;Arndt Rolfs;Rostock, Deutschland;Biotechnologie & Arzneimittel;Pharmazeutika & Biotechnologie;5 bis 25 Millionen $ (USD);501 bis 1.000 Mitarbeiter;Aktiengesellschaft;2006.0;Unknown;DevOps & Cloud;Unknown;1;0;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;;
CI/CD, Kubernetes, Git, Docker, Angular, Software development, Linux, Jenkins, GitLab, German;;0;none;0.6;0.6;Künstliche Intelligenz;0;angular, ci/cd, devops, docker, git, gitlab, jenkins, kubernetes, linux, software engineering;;;Bachelor's;5;1;angular, ci/cd, devops, docker, git, gitlab, jenkins, kubernetes, linux, software engineering;;;;5662;(Senior) DevOps Engineer (m/w/d);Dresden;1538312.0;Somentec Software;336;EUR;;;;;3.0;2025-10-23T00:00:00;;;Dresden;Sachsen;Germany;51.051697;13.736883;;Langen (Hessen), Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Aktiengesellschaft;;Unknown;DevOps & Cloud;Unknown;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;;
CI/CD, Kubernetes, Ansible, English, Docker, Systems engineering, Linux, GitLab;;0;ai_integration;0.9;0.9;Artificial Intelligence;0;ansible, ci/cd, devops, docker, gitlab, gitlab ci, html, kubernetes, linux;innovation;;-;5;0;ansible, ci/cd, devops, docker, gitlab, gitlab ci, html, kubernetes, linux;innovation;;;5663;Senior DevOps Systems Engineer;Graben-Neudorf;3325569.0;AVILOO GmbH;1;EUR;;;;;4.0;2025-10-24T00:00:00;Full-time;;Graben-Neudorf;Baden-Württemberg;Germany;49.1664;8.481507;;Biedermannsdorf, Österreich;Allgemeine Reparatur und Wartung;Bauwesen, Reparatur- und Wartungsservices;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;DevOps & Cloud;Unknown;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;;
CI/CD, Kubernetes, Ansible, Docker, Terraform, Organizational skills, German;;0;none;0.85;0.85;;0;ansible, ci/cd, devops, docker, fargate, infrastructure as code, kubernetes, openshift, terraform;flexibility, organization;;Associate;3;1;ansible, ci/cd, devops, docker, fargate, infrastructure as code, kubernetes, openshift, terraform;flexibility, organization;;;5664;DevOps Engineer (m/w/d);Home office;;devoba GmbH;4;EUR;ANNUAL;60000.0;72500.0;85000.0;;2025-10-21T00:00:00;Full-time;WORK_FROM_HOME;;;Portugal;39.5;-8.0;;;;;;;;;Unknown;DevOps & Cloud;Unknown;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
